epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6406,2.04214,3.90943,1.708,0.82295,0.16406,0.21348,0.12761,1.88521,3.38774,1.63947,0.000137537,0.000137537,0.000137537
2,82.0471,1.75445,2.30061,1.50438,0.79818,0.37138,0.42667,0.24295,1.8275,2.03489,1.61255,0.000271061,0.000271061,0.000271061
3,120.767,1.60592,1.79919,1.42399,0.83962,0.48982,0.5465,0.3085,1.72427,1.71144,1.52536,0.000399082,0.000399082,0.000399082
4,158.249,1.54538,1.61222,1.38769,0.7939,0.59088,0.64299,0.38865,1.58969,1.40529,1.54314,0.00039223,0.00039223,0.00039223
5,195.525,1.51001,1.49157,1.34963,0.80027,0.68093,0.77995,0.44271,1.55367,1.32037,1.45935,0.000383974,0.000383974,0.000383974
6,232.761,1.44522,1.37039,1.31646,0.78137,0.73671,0.77715,0.46241,1.5284,1.19722,1.41051,0.000375717,0.000375717,0.000375717
7,269.799,1.41296,1.31306,1.28861,0.85533,0.84232,0.87825,0.51805,1.44744,1.11141,1.39797,0.00036746,0.00036746,0.00036746
8,307.271,1.38283,1.26198,1.26857,0.76286,0.83025,0.85695,0.48552,1.53137,1.11703,1.45828,0.000359204,0.000359204,0.000359204
9,344.718,1.36726,1.22901,1.26274,0.83221,0.8865,0.8809,0.51178,1.48219,1.11067,1.38644,0.000350947,0.000350947,0.000350947
10,381.719,1.35624,1.19811,1.24933,0.86627,0.87349,0.9049,0.5348,1.38397,0.98627,1.32139,0.000342691,0.000342691,0.000342691
11,419.073,1.32105,1.14833,1.22845,0.85409,0.81371,0.89118,0.53302,1.3661,1.05619,1.28944,0.000334434,0.000334434,0.000334434
12,456.237,1.30837,1.11341,1.22117,0.86051,0.89942,0.91368,0.55161,1.33634,0.9418,1.27417,0.000326177,0.000326177,0.000326177
13,493.512,1.30622,1.11416,1.2217,0.78622,0.80993,0.88626,0.53167,1.32129,0.96617,1.28132,0.000317921,0.000317921,0.000317921
14,530.819,1.27343,1.07892,1.20398,0.84427,0.88183,0.89402,0.5352,1.36243,0.92878,1.27962,0.000309664,0.000309664,0.000309664
15,567.833,1.27466,1.06373,1.20243,0.88411,0.9005,0.92907,0.56919,1.32657,0.89156,1.26565,0.000301408,0.000301408,0.000301408
16,605.173,1.26399,1.04715,1.19738,0.91044,0.83973,0.93179,0.57632,1.28438,0.90405,1.24743,0.000293151,0.000293151,0.000293151
17,642.566,1.2481,1.01353,1.18263,0.88357,0.89971,0.93519,0.58297,1.29875,0.94264,1.22964,0.000284894,0.000284894,0.000284894
18,680.142,1.24025,1.00705,1.17808,0.83081,0.89234,0.91021,0.57528,1.2488,0.86292,1.21577,0.000276638,0.000276638,0.000276638
19,717.178,1.22734,0.9787,1.16806,0.91522,0.85317,0.90175,0.57067,1.25942,0.86576,1.22978,0.000268381,0.000268381,0.000268381
